Estacion_Id,Pfb_Fecha,Lod_Latitud_F5,Lod_Longitud_F5,Lod_Cota,Conductividad,18O,2H,d-excess
G2016,24-feb-16,5774040,5541861,137,730,-5.60,-33.00,11.80
G2016,23-nov-16,5774040,5541861,137,,-5.60,-33.00,11.80
G2016,17-ago-18,5774040,5541861,137,832,-5.49,-32.80,11.12
G2016,09-mar-18,5774040,5541861,137,866,-5.46,-32.90,10.78
G2018,31-may-18,5778589,5546160,140,786,-5.90,-34.40,12.80
G2018,09-mar-18,5778589,5546160,140,795,-5.75,-33.90,12.10
G2018,17-ago-18,5778589,5546160,140,803,-5.69,-33.60,11.92
G2018,16-nov-17,5778589,5546160,140,799,-5.61,-33.60,11.28
G2019,25-feb-16,5779065,5539510,141,1022,-5.31,-31.10,11.38
G202,28-oct-09,5764188.954,5576727.509,92.24855416,890,-5.00,-29.19,10.82
G2022,09-mar-18,5781354,5533943,152,948,-5.43,-31.10,12.34
G2022,31-may-18,5781354,5533943,152,777,-5.13,-28.90,12.14
G2022,25-feb-16,5781354,5533943,152,802,-4.83,-27.90,10.74
G2022,16-ago-18,5781354,5533943,152,830,-4.49,-25.90,10.02
G2022,26-feb-16,5781354,5533943,152,,0.34,1.80,-0.92
G2024,26-feb-16,5780181,5529437,147,1701,-1.05,-7.30,1.10
G2025,26-feb-16,5787809,5531215,157,873,-4.66,-30.00,7.28
G2026,26-feb-16,5784745,5525508,157,892,-5.64,-33.00,12.12
G2028,22-nov-16,5762771,5562755,125.2412819,1140,-5.53,-32.50,11.74
G2028,23-nov-16,5762771,5562755,125.2412819,,-5.53,-32.50,11.74
G2029,22-nov-16,5761971,5554338,108.2682965,667,-5.37,-33.60,9.36
G2029,23-nov-16,5761971,5554338,108.2682965,,-5.37,-33.60,9.36
G203,25-ene-07,5774430.395,5585051.93,93.79716727,1020,-5.20,-31.00,10.60
G203,28-oct-09,5774430.395,5585051.93,93.79716727,1088,-5.09,-29.76,10.95
G2030,16-nov-17,5765569,5540840,124.883347,188,-7.34,-43.40,15.32
G2030,22-nov-16,5765569,5540840,124.883347,790,-5.51,-32.00,12.08
G2030,23-nov-16,5765569,5540840,124.883347,,-5.51,-32.00,12.08
G2031,23-nov-16,5770474,5511126,144.1876949,978,-5.55,-31.80,12.60
G2031,01-jun-18,5770474,5511126,144.1876949,1205,-5.50,-31.30,12.70
G2031,16-ago-18,5770474,5511126,144.1876949,1103,-5.43,-31.50,11.94
G2031,09-mar-18,5770474,5511126,144.1876949,1153,-5.33,-31.50,11.14
G2031,17-nov-17,5770474,5511126,144.1876949,1124,-5.14,-31.50,9.62
G2032,23-nov-16,5795506,5493162,201.7658186,771,-5.55,-32.40,12.00
G2033,23-nov-16,5798224,5497456,205.0865629,760,-5.94,-32.80,14.72
G2034,23-nov-16,5802399,5502419,209.0561484,909,-5.64,-33.50,11.62
G2034,09-mar-18,5802399,5502419,209.0561484,898,-5.51,-32.60,11.48
G2034,16-ago-18,5802399,5502419,209.0561484,1010,-5.43,-32.50,10.94
G2034,17-nov-17,5802399,5502419,209.0561484,1100,-5.33,-32.60,10.04
G2034,01-jun-18,5802399,5502419,209.0561484,1055,-4.54,-26.20,10.12
G2035,01-jun-18,5792373,5512509,190.0735161,863,-5.66,-32.50,12.78
G2035,23-nov-16,5792373,5512509,190.0735161,771,-5.59,-32.30,12.42
G2035,16-ago-18,5792373,5512509,190.0735161,872,-5.40,-32.50,10.70
G2035,17-nov-17,5792373,5512509,190.0735161,2040,-5.34,-31.50,11.22
G2035,09-mar-18,5792373,5512509,190.0735161,1955,-5.32,-31.90,10.66
G2036,08-mar-18,5761288,5568710,99.63114335,962,-5.66,-32.90,12.38
G2036,16-nov-17,5761288,5568710,99.63114335,955,-5.32,-32.20,10.36
G2036,17-ago-18,5761288,5568710,99.63114335,1317,-5.32,-30.60,11.96
G2036,23-nov-16,5761288,5568710,99.63114335,,-5.15,-33.60,7.60
G2036,24-nov-16,5761288,5568710,99.63114335,841,-5.15,-33.60,7.60
G2037,23-nov-16,5775786,5571756,105.0433241,,-6.11,-34.50,14.38
G2037,24-nov-16,5775786,5571756,105.0433241,1063,-6.11,-34.50,14.38
G2038,23-nov-16,5775325,5574703,98.36151476,,-5.74,-31.60,14.32
G2038,24-nov-16,5775325,5574703,98.36151476,1241,-5.74,-31.60,14.32
G2039,23-nov-16,5774969,5575145,98.33284194,,-5.93,-33.60,13.84
G2039,24-nov-16,5774969,5575145,98.33284194,1021,-5.93,-33.60,13.84
G204,27-oct-09,5781320.421,5600660.773,93.69476212,1170,-5.62,-32.39,12.56
G2040,16-ago-18,5804846,5509881,188,1462,-2.72,-17.10,4.66
G2040,09-mar-18,5804846,5509881,188,1501,-2.68,-17.10,4.34
G2040,17-nov-17,5804846,5509881,188,1535,-2.45,-15.30,4.30
G2041,17-ago-18,5770501,5557806,134,2024,-5.60,-32.60,12.20
G2041,08-mar-18,5770501,5557806,134,2226,-5.43,-32.30,11.14
G2041,16-nov-17,5770501,5557806,134,2036,-4.88,-31.50,7.54
G2041,01-jun-18,5770501,5557806,134,,2.43,11.30,-8.14
G2042,17-ago-18,5768170.65,5539692.74,139,1336,-5.41,-32.10,11.18
G2042,08-mar-18,5768170.65,5539692.74,139,687,-5.29,-32.00,10.32
G205,17-nov-10,5767615.121,5576398.689,84,,-5.16,-29.57,11.69
G207,22-mar-07,5768205.943,5572835.033,101.0041488,800,-5.70,-35.00,10.60
G209,22-mar-07,5767792.075,5572218.428,101.1856431,1047,-5.20,-32.00,9.60
G211,16-dic-11,5764805.344,5575782.732,79.95783137,1771,-5.33,-28.54,14.13
G211,28-oct-09,5764805.344,5575782.732,79.95783137,1670,-5.31,-28.58,13.86
G219,16-dic-11,5779020.857,5567033.404,115.2920793,1151,-4.02,-27.53,4.62
G220,07-jun-06,5773815.406,5570050.123,98.75565131,5520,-6.00,-37.00,11.00
G220,06-may-08,5773815.406,5570050.123,98.75565131,4340,-5.70,-39.00,6.60
G220,28-sep-06,5773815.406,5570050.123,98.75565131,5720,-5.60,-36.00,8.80
G220,28-ene-08,5773815.406,5570050.123,98.75565131,6835,-5.59,-34.83,9.89
G220,28-nov-06,5773815.406,5570050.123,98.75565131,4250,-5.50,-36.00,8.00
G220,18-nov-10,5773815.406,5570050.123,98.75565131,,-5.13,-32.67,8.36
G235,28-oct-09,5763869.731,5579452.042,79.45668872,1030,-5.17,-29.13,12.23
G236,28-oct-09,5762946.395,5582962.687,96.01237887,900,-5.23,-29.29,12.52
G237,28-oct-09,5764234.859,5585098.283,91.3278644,1110,-5.63,-31.01,14.02
G238,29-oct-09,5735922.812,5608977.016,19.80704102,1200,-5.10,-28.22,12.57
G239,29-oct-09,5735935.316,5608737.313,17.22890169,1030,-5.47,-30.78,13.02
G241,29-oct-09,5743218.283,5608198.104,20.96803203,1280,-5.07,-28.53,12.03
G242,29-oct-09,5752168.271,5594208.344,57.17084586,1060,-5.34,-29.14,13.60
G243,29-oct-09,5747376.444,5596750.848,39.71287103,1130,-4.98,-27.45,12.38
G251,18-feb-09,5731284.227,5619358.496,11.69266351,790,-5.23,-28.85,12.99
G252,18-feb-09,5733206.658,5625564.104,17.37579505,500,-5.44,-29.50,14.02
G253,19-feb-08,5732958.593,5626432.257,10.09569499,,-4.75,-29.07,8.93
G255,18-feb-09,5732974.057,5625841.451,19.24488358,410,-5.60,-32.08,12.72
G256,18-feb-09,5733968.472,5625961.231,20.77642169,410,-5.52,-31.87,12.31
G266,12-may-17,5749996.44,5616067.55,38.54410691,,-5.15,-33.40,7.80
G268,12-may-17,5762481.34,5612981.23,56.19610122,,-4.83,-31.60,7.04
G269,12-may-17,5758353.92,5622255.88,44.37650923,,-6.01,-30.20,17.88
G270,12-may-17,5773637.77,5629116.23,68.13484439,,-8.75,-54.90,15.10
G271,21-may-09,5746316.98,5634663.95,23.90520189,,-5.85,-29.79,17.04
G271,11-jul-17,5746316.98,5634663.95,23.90520189,,-4.19,-27.70,5.82
G272,11-jul-17,5738281.85,5627639.9,18.91388198,,-4.92,-31.50,7.86
G273,11-jul-17,5735437.13,5622486.38,16.8538831,,-4.61,-29.00,7.88
G275,11-jul-17,5737644.27,5620884.33,19.2877067,,-5.14,-32.80,8.32
G282,30-ago-17,5739969.23,5626986.873,22.18487871,,-6.32,-28.20,22.36
G282,10-abr-19,5739969.23,5626986.873,22.18487871,1652,-5.48,-31.00,12.84
G284,11-jul-17,5814424.023,5682005.329,58.4469547,,-5.23,-32.90,8.94
G290,23-feb-10,5765204.261,5572973.402,85.19259357,656,-5.30,-30.20,12.17
G291,03-abr-09,5762624.849,5571404.341,89.35080198,670,-5.06,-29.03,11.45
G292,03-abr-09,5762417.17,5570824.058,94.82955878,630,-5.19,-29.60,11.89
G294,03-abr-09,5817172.145,5674472.467,69.02910858,,-5.40,-31.01,12.17
G296,03-abr-09,5761729.926,5569709.848,94.91420954,790,-5.15,-30.39,10.78
G299,26-oct-09,5786455.839,5562704.433,123.7066962,1030,-5.21,-28.07,13.58
G300,26-oct-09,5781963.159,5557692.666,121.8297575,1000,-6.07,-33.61,14.91
G300,16-dic-11,5781963.159,5557692.666,121.8297575,1048,-5.19,-29.16,12.39
G3000,29-jun-09,5974069.177,5792152.61,1.808,10770,-4.50,-27.00,9.00
G3002,29-jun-09,5973729.757,5793335.184,2.055,770,-5.00,-29.00,11.00
G3003,29-jun-09,5973340.82,5794061.39,2.541,605,-4.30,-21.00,13.40
G3004,29-jun-09,5973151.604,5793358.086,2.548,1113,-5.30,-30.00,12.40
G3005,29-jun-09,5973008.695,5792836.217,2.014,2550,-5.70,-35.00,10.60
G3009,29-jun-09,5971691.394,5794807.101,2.547,459,-12.50,-94.00,6.00
G301,27-oct-09,5775764.018,5571795.157,103.4657391,1059,-5.62,-30.37,14.56
G3011,29-jun-09,5971351.78,5793624.309,1.853,12530,-4.80,-30.00,8.40
G3015,12-oct-17,5970773.184,5795023.075,1.886,,-3.60,-22.00,6.80
G3019,29-jun-09,5969654.474,5793871.383,1.71,10760,-10.40,-70.00,13.20
G302,27-oct-09,5786587.203,5562863.889,124.0296034,1330,-5.89,-34.37,12.73
G3022,29-jun-09,5968789.579,5794336.347,2.179,1515,-5.90,-36.00,11.20
G3023,29-jun-09,5969065.026,5794952.403,2.984,714,-5.70,-32.00,13.60
G3024,29-jun-09,5974558.063,5795584.134,2.313,680,-5.30,-30.00,12.40
G303,15-dic-11,5762914.989,5682156.379,15.48355698,1175,-4.79,-24.37,13.96
G3032,29-jun-09,5967433.371,5795625.698,1.643,652,-5.40,-31.00,12.20
G3037,29-jun-09,5965772.743,5795519.036,2.796,1623,-4.60,-25.00,11.80
G3038,29-jun-09,5965762.444,5795910.518,2.901,589,-6.80,-39.00,15.40
G304,15-dic-11,5763978.49,5682580.292,19.23045678,1293,-5.15,-27.17,14.03
G3040,29-jun-09,5967616.231,5795062.795,3.51,1777,-5.30,-30.00,12.40
